year,cert,brnum,uninumbr,namefull,addresbr,citybr,cntynamb,stalpbr,zipbr,brcenm,consold,brsertyp,depsumbr,bkmo,cbsa_div_namb,city2br,cntrynab,cntynumb,csabr,csanambr,divisionb,msabr,msanamb,metrobr,microbr,namebr,nectabr,necnamb,placenum,sims_acquired_date,sims_established_date,sims_latitude,sims_longitude,sims_description,sims_projection,stcntybr,stnamebr,stnumbr,hctmult,rssdhcr,namehcr,cityhcr,stalphcr,rssdid,unit,address,city,stalp,zip,asset,bkclass,call,charter,chrtagnn,chrtagnt,clcode,cntryna,denovo,depdom,depsum,docket,escrow,fdicdbs,fdicname,fed,fedname,insagnt1,insured,insbrdd,insbrts,occdist,occname,regagnt,specgrp,specdesc,stcnty,stname,usa
2017,00588,721,204702,Manufacturers and Traders Trust Company,10090 Southern Maryland Boulevard,Dunkirk,Calvert,MD,20754,NA,NA,11,40480,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Dunkirk,United States,9,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Dunkirk Branch,0,NA,00000,04/01/2003,11/05/1976,38.716,-76.6597,M,US_RoofTop,24009,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,1067,270191,Manufacturers and Traders Trust Company,10100 River Road,Potomac,Montgomery,MD,20854,NA,NA,11,82414,0,"Silver Spring-Frederick-Rockville, MD",Potomac,United States,31,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",43524,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Potomac Village Branch,0,NA,00000,05/23/2009,01/01/1929,39.0172,-77.2078,M,US_RoofTop,24031,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,901,358670,Manufacturers and Traders Trust Company,1025 Herndon Parkway,Herndon,Fairfax,VA,20170,NA,NA,11,46899,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Herndon,United States,59,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Herndon Branch,0,NA,00000,04/01/2003,10/29/1999,38.9619,-77.3981,M,US_Streets,51059,Virginia,51,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,911,363711,Manufacturers and Traders Trust Company,10410 Campus Way South,Largo,Prince George's,MD,20774,NA,NA,11,53769,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Upper Marlboro,United States,33,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Largo Plaza Branch,0,NA,00000,04/01/2003,10/15/2001,38.8915,-76.8245,M,US_Streets,24033,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,658,204206,Manufacturers and Traders Trust Company,10420 Montgomery Avenue,Kensington,Montgomery,MD,20895,NA,NA,11,99443,0,"Silver Spring-Frederick-Rockville, MD",Kensington,United States,31,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",43524,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Antique Row Branch,0,NA,00000,04/01/2003,01/01/1900,39.0261,-77.0723,M,US_Streets,24031,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,1122,423412,Manufacturers and Traders Trust Company,1050 Shopppers Way,Largo,Prince George's,MD,20774,NA,NA,11,7621,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Upper Marlboro,United States,33,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Capital Centre Branch,0,NA,00000,05/23/2009,11/08/2003,38.872,-76.8173,M,US_Zipcode,24033,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,1137,287386,Manufacturers and Traders Trust Company,10693 Courthouse Road,Fredericksburg,Spotsylvania,VA,22407,NA,NA,11,9045,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fredericksburg,United States,177,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Breezewood Branch,0,NA,00000,05/23/2009,03/01/1990,38.2482,-77.5115,M,US_Streets,51177,Virginia,51,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,742,204322,Manufacturers and Traders Trust Company,11175 Mall Circle,Waldorf,Charles,MD,20603,NA,NA,11,74427,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Waldorf,United States,17,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Waldorf Branch,0,NA,00000,04/01/2003,06/10/1991,38.6156,-76.9276,M,US_RoofTop,24017,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,700,204266,Manufacturers and Traders Trust Company,11325 Seven Locks Road,Potomac,Montgomery,MD,20854,NA,NA,11,63499,0,"Silver Spring-Frederick-Rockville, MD",Potomac,United States,31,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",43524,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Cabin John Mall Branch,0,NA,00000,04/01/2003,05/14/1979,39.0418,-77.1593,M,US_RoofTop,24031,Maryland,24,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
2017,00588,1147,441467,Manufacturers and Traders Trust Company,11721 Lee Highway,Fairfax,Fairfax,VA,22030,NA,NA,11,39714,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax,United States,59,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,0,Lee Plaza Branch,0,NA,00000,05/23/2009,06/13/2005,38.849,-77.3521,M,US_Streets,51059,Virginia,51,MULT,1037003,M&T BANK CORPORATION,BUFFALO,NY,501105,0,One M And T Plaza,Buffalo,NY,14203,120357682,SM,CALL,STATE,State Agency,STATE,13,United States,0,94979081,0,11394,NA,2,New York,2,New York,DIF,CB,NA,NA,1,Northeast District,FED,00004,COMMERCIAL LENDING,36029,New York,1
